nome_emissor_padronizado,nome_emissor_fitch,nome_emissor_moodys,nome_emissor_standard_and_poors,cnpj_emissor
BARI SECURITIZADORA,,,Bari Securitizadora S.A.,10608405000160
BARI SECURITIZADORA 2023,"Bari Securitizadora 2023-18-1,2 (Grupo Mateus)",,,
BARI SECURITIZADORA 2024,Bari Securitizadora 2024-35-1 (RNI),,,
BARREIRAS HOLDING,Barreiras Holding S.A.,,,50258089000169
BARUERI ENERGIA RENOVAVEL,,,Barueri Energia Renovavel S.A.,14641895000158
BB GESTAO RECURSOS,BB Gestao de Recursos - Distribuidora de Titulos e Valores Mobiliarios S.A.,,,30822936000169
BB GESTAO RECURSOS DTVM,,BB Gestão de Recursos DTVM S.A.,,30822936000169
BC GESTAO RECURSOS,,BC Gestão de Recursos Ltda.,,08752088000100
BE8,,Be8 S.A.,,
BEFLY FIDC,Befly FIDC,,,
BELEM TRANSMISSORA ENERGIA,,,Belem Transmissora de Energia S.A.,26845702000160
BELO MONTE TRANSMISSORA ENERGIA SPE,Belo Monte Transmissora de Energia SPE S.A.,,,20223016000170
BEM ALIMENTOS,,,Bem Brasil Alimentos S.A.,06004860000180
BEMOL,,Bemol S.A.,,00903247000118
BEMOL CREDITO PESSOAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIROS RESPONSABILIDADE,,,Bemol Credito Pessoal Fundo de Investimento em Direitos Creditorios Financeiros de Responsabilidade Ltda.,
BETA PRODUTORA ENERGIA SPE,,Beta Produtora de Energia SPE S.A.,,11371025000118
BIOENERGETICA VALE PARACATU,,,Bioenergetica Vale do Paracatu S.A.,08793343000162
BIVI HOLDING,,,Bivi Holding S.A.,08964236000150
BLAU FARMACEUTICA,Blau Farmaceutica S.A.,,,58430828000160
BLOCO ONZE AEROPORTOS,,Bloco de Onze Aeroportos do Brasil S.A.,,48725405000113
BNDES PARTICIPACOES,,BNDES Participações S.A. - BNDESPAR,,00383281000109
BNDESPAR,,,BNDESPar-BNDES Participacoes S.A.,
BNP PARIBAS ASSET MANAGEMENT,BNP Paribas Asset Management Brasil Ltda.,,,02562663000125
BOA SAFRA SEMENTES,,Boa Safra Sementes S.A.,,10807374000177
BORBOREMA TRANSMISSAO ENERGIA,Borborema Transmissao de Energia S.A.,,,31109417000110
BORRACHAS VIPAL,,Borrachas Vipal S.A.,,87870952000144
BR MALLS PARTICIPACOES,BR Malls Participacoes S.A.,,,06977745000191
BR PARTNERS BANCO INVESTIMENTO,BR Partners Banco de Investimento S.A.,BR Partners Banco de Investimento S.A.,BR Partners Banco de Investimento S.A.,13220493000117
BRADESCO ASSET MANAGEMENT,Bradesco Asset Management,,,
BRADESPAR,Bradespar S.A.,,,03847461000192
BRADSEG PARTICIPACOES,Bradseg Participacoes S.A.,,,02863655000119
BRAM,,,BRAM - Bradesco Asset Management S.A. Distribuidora de Titulos e Valores Mobiliarios,62375134000144
BRASILPREV SEGUROS PREVIDENCIA,,Brasilprev Seguros e Previdência S.A.,,27665207000131
BRASKEM,Braskem S.A.,,Braskem S.A.,42150391000170
BRAVA ENERGIA,Brava Energia S.A.,,Brava Energia S.A.,12091809000155
BRAZIL,Brazil,,,
BRAZILIAN SECURITIES 2011,Brazilian Securities 2011-269,,,
BRAZILIAN SECURITIES 2013,"Brazilian Securities 2013-1-302,303,304 (Petrobras)",,,
BRB,BRB - Banco de Brasilia S.A.,BRB – Banco de Brasília S.A.,BRB - Banco de Brasilia S.A.,
BRENNAND ENERGIA,,Brennand Energia S.A.,,10532985000150
BRENNAND INVESTIMENTOS,,Brennand Investimentos S.A.,,04184774000170
BRF,BRF S.A.,,BRF S.A.,00451283000198
BRISANET SERVICOS TELECOMUNICACOES,,,Brisanet Servicos de Telecomunicacoes S.A.,04601397000128
BRK AMBIENTAL,,BRK Ambiental - Mauá S.A.,,05380441000180
BRK AMBIENTAL MANSO,BRK Ambiental Manso S.A.,,,19246473000100
BRK AMBIENTAL PARTICIPACOES,BRK Ambiental Participacoes S.A.,BRK Ambiental Participações S.A.,BRK Ambiental Participacoes S.A.,24396489000120
BRK AMBIENTAL REGIAO METROPOLITANA MACEIO,,BRK Ambiental Região Metropolitana de Maceió S.A.,,
BRVIAS HOLDING VRD,,BRVias Holding VRD S.A.,,12321274000161
BRZ CONSIGNADOS V FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,BRZ Consignados V Fundo de Investimento em Direitos Creditórios - Responsabilidade Limitada,,
BRZ EMPREENDIMENTOS CONSTRUCOES,,,BRZ Empreendimentos e Construcoes S.A.,04065053000141
BRZ INVESTIMENTOS,,BRZ Investimentos Ltda.,,02888152000106
BSB ENERGETICA,BSB Energetica S/A,,,03820456000196
BTG PACTUAL ASSET MANAGEMENT DTVM,BTG Pactual Asset Management DTVM S.A.,,,29650082000100
BTG PACTUAL HOLDING,BTG Pactual Holding S.A.,,,
BTG PACTUAL SEGUROS,,,BTG Pactual Seguros S.A.,32724962000180
BYX MOZART FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,BYX Mozart Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,
C MODAS,C&A Modas S.A.,,,45242914000105
C.VALE COOPERATIVA AGROINDUSTRIAL,,,C.Vale Cooperativa Agroindustrial,
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA,,,Cachoeira Paulista Transmissora de Energia S.A.,05336882000184
CAIXA DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,Caixa Distribuidora de Titulos e Valores Mobiliarios S.A.,CAIXA Distribuidora de Títulos e Valores Mobiliários,,42040639000140
